id,title,text
1,Rust (programming language),"Rust is a multi-paradigm systems programming language focused on safety and performance. It prevents memory safety bugs at compile time through its ownership system."
2,Python (programming language),"Python is a high-level interpreted language known for its readability. It supports multiple programming paradigms including procedural, object-oriented, and functional."
3,SQLite,"SQLite is a self-contained serverless SQL database engine. It is the most widely deployed database engine in the world, used in browsers, mobile apps, and embedded systems."
4,Vector database,"A vector database stores high-dimensional embedding vectors and provides fast approximate nearest-neighbor (ANN) search. Use cases include semantic search, RAG, and recommendation systems."
5,Transformer (machine learning),"The Transformer architecture introduced the attention mechanism and became the foundation of modern LLMs including BERT, GPT, and LLaMA."
6,BM25,"BM25 (Best Match 25) is a bag-of-words retrieval function used by search engines to rank documents by relevance to a query. It is the default ranking in Elasticsearch and Lucene."
7,HNSW,"Hierarchical Navigable Small World (HNSW) is a graph-based approximate nearest-neighbor algorithm. It provides logarithmic search complexity and is used in Qdrant, Weaviate, and Synapse."
8,SimSIMD,"SimSIMD is a library providing SIMD-accelerated similarity kernels for dot product, cosine, and Hamming distance. It uses AVX-512 on Intel and NEON on ARM."
9,RAG (retrieval-augmented generation),"RAG combines a retrieval system with a generative LLM. The retriever fetches relevant documents; the LLM generates answers grounded in retrieved context."
10,Pinecone,"Pinecone is a managed cloud vector database. It provides a REST API for storing and querying embeddings. Alternatives include Qdrant, Weaviate, and Synapse (self-hosted)."
11,LangChain,"LangChain is a Python framework for building LLM-powered applications. It provides abstractions for chains, agents, memory, and vector store integrations."
12,LlamaIndex,"LlamaIndex (formerly GPT Index) is a data framework for LLM applications. It specializes in ingesting, structuring, and querying data for LLM context."
13,Mem0,"Mem0 is an open-source memory layer for AI assistants. It persists user preferences and conversation context across sessions using a vector store backend."
14,HippoRAG,"HippoRAG is a retrieval framework inspired by the hippocampus memory consolidation model. Its PPR (Personalized PageRank) re-ranking improves multi-hop question answering."
15,Apache Arrow,"Apache Arrow defines a language-independent columnar memory format for flat and hierarchical data. It enables zero-copy reads between systems like DuckDB, Polars, and Pandas."
16,DuckDB,"DuckDB is an in-process analytical SQL database. It is optimized for OLAP queries and can query Parquet, CSV, and JSON files directly without ETL."
17,PostgreSQL,"PostgreSQL is an advanced open-source relational database. It supports JSON, full-text search, and extensions like pgvector for vector similarity search."
18,Redis,"Redis is an in-memory data structure store used as a cache, message broker, and streaming engine. Valkey is the community fork after the 2024 license change."
19,Tokio,"Tokio is the leading async runtime for Rust. It provides async I/O, timers, synchronization primitives, and a multi-threaded work-stealing scheduler."
20,FAISS,"FAISS (Facebook AI Similarity Search) is a library for efficient similarity search and clustering of dense vectors. It supports GPU acceleration and multiple index types."
21,Sentence Transformers,"Sentence Transformers is a Python library that provides pretrained models for computing dense vector representations of sentences, paragraphs, and images."
22,OpenAI Embeddings,"OpenAI's text-embedding-3-small and text-embedding-3-large models produce high-quality dense vectors for semantic search and RAG applications."
23,Matryoshka Representation Learning,"MRL trains embeddings that remain meaningful when truncated to shorter dimensions. A 1536-dim embedding can be truncated to 128 dims with minimal quality loss."
24,Cosine similarity,"Cosine similarity measures the angle between two vectors. It equals the dot product of unit-normalized vectors and is the standard metric for dense vector search."
25,Graph neural network,"GNNs learn representations of graph-structured data by aggregating features from neighboring nodes. Used in recommendation, drug discovery, and knowledge graphs."
26,Knowledge graph,"A knowledge graph stores facts as (subject, predicate, object) triples. SPARQL is the standard query language; Cypher is used in Neo4j and Synapse."
27,PageRank,"PageRank is a link analysis algorithm that assigns importance scores to nodes in a graph. Google's original search ranking was based on PageRank."
28,Bloom filter,"A Bloom filter is a probabilistic data structure for set membership queries. It uses multiple hash functions and allows false positives but never false negatives."
29,FTS5,"FTS5 is SQLite's full-text search extension. It provides BM25 ranking, phrase search, prefix queries, and trigram tokenization."
30,mmap,"Memory-mapped files allow a file to be accessed as if it were in RAM. Databases like LMDB, SQLite WAL, and Synapse use mmap for zero-copy reads."
31,SIMD,"Single Instruction, Multiple Data (SIMD) instructions operate on multiple data points simultaneously. AVX-512 processes 16 float32 values per instruction on x86."
32,Ed25519,"Ed25519 is a public-key signature algorithm based on Curve25519. It produces 64-byte signatures and is used in SSH, TLS, and Synapse doc signing."
33,WAL (Write-Ahead Logging),"WAL writes changes to a log before applying them to the main database file. It allows concurrent reads during writes and enables crash recovery in SQLite and PostgreSQL."
34,CRDT,"Conflict-free Replicated Data Types allow distributed systems to merge concurrent updates without conflicts. They are used in collaborative editors and distributed databases."
35,Raft consensus,"Raft is a consensus algorithm for distributed systems. It elects a leader who manages log replication to followers, ensuring consistency across replicas."
36,Quantization (ML),"Quantization reduces model precision from float32 to int8 or binary to decrease memory and speed up inference. Synapse uses int8 quantization for its in-memory index."
37,Reranking,"Reranking is a two-stage retrieval approach: a fast first-stage retriever (BM25 or dense) is followed by a slower but more accurate cross-encoder or LLM reranker."
38,ColBERT,"ColBERT is a late-interaction neural retrieval model. It computes token-level embeddings and uses MaxSim scoring for high-accuracy retrieval."
39,SPLADE,"SPLADE (Sparse Lexical and Expansion) produces sparse learned representations for retrieval. It combines the efficiency of sparse search with neural understanding."
40,Hybrid search,"Hybrid search combines lexical (BM25) and dense (vector) retrieval results, typically via Reciprocal Rank Fusion (RRF) or linear interpolation."
41,RRF (Reciprocal Rank Fusion),"RRF combines rankings from multiple retrieval systems by summing reciprocal ranks. It is parameter-free and robust to score distribution differences."
42,ANN (approximate nearest neighbor),"ANN algorithms find vectors close to a query vector without exhaustive search. Common methods include HNSW, IVF, PQ, and LSH."
43,Product quantization,"PQ compresses high-dimensional vectors by splitting them into sub-vectors and quantizing each independently. Used in FAISS for billion-scale search."
44,Lucene,"Apache Lucene is a Java full-text search library. It powers Elasticsearch, OpenSearch, and Solr. BM25 is its default similarity function since version 6."
45,Elasticsearch,"Elasticsearch is a distributed search and analytics engine built on Lucene. It supports full-text search, vector search (kNN), and aggregations."
46,Qdrant,"Qdrant is a vector database written in Rust. It provides gRPC and HTTP APIs, supports filtering, and runs as a standalone service or cluster."
47,Weaviate,"Weaviate is an open-source vector database with a GraphQL API. It supports multi-modal data and built-in vectorization modules."
48,Chroma,"Chroma is an AI-native open-source embedding database. It is popular for prototyping RAG applications but lacks production-grade persistence."
49,Milvus,"Milvus is an open-source vector database designed for billion-scale similarity search. It supports multiple index types and distributed deployment."
50,LanceDB,"LanceDB is an open-source vector database built on the Lance columnar format. It provides zero-copy access and is designed for multimodal data."
51,Cursor (IDE),"Cursor is an AI-first code editor built on VS Code. It supports MCP tool servers for extending AI capabilities with custom tools."
52,Claude Code,"Claude Code is Anthropic's terminal-based AI coding assistant. It supports MCP servers and has native file system, bash, and search tools."
53,MCP (Model Context Protocol),"MCP is an open protocol for connecting LLMs to external tools and data sources. It defines tool definitions, tool calls, and resource access patterns."
54,Anthropic,"Anthropic is an AI safety company that builds the Claude family of LLMs. Claude models excel at coding, reasoning, and following complex instructions."
55,Ollama,"Ollama is a tool for running open-weight LLMs locally on macOS, Linux, and Windows. It supports Llama, Gemma, Phi, Mistral, and other models."
56,Maturin,"Maturin is a build tool for Rust-Python packages using PyO3 or cffi. It builds and publishes Python wheels containing Rust extensions."
57,PyO3,"PyO3 provides Rust bindings for Python. It allows writing Python extension modules in Rust with safe, ergonomic abstractions."
58,CLIP (model),"CLIP (Contrastive Language-Image Pre-training) by OpenAI learns joint embeddings for images and text. A text query can find semantically similar images."
59,Sentence-BERT,"SBERT fine-tunes BERT with a siamese network objective to produce semantically meaningful sentence embeddings for semantic textual similarity."
60,all-MiniLM-L6-v2,"all-MiniLM-L6-v2 is a compact 384-dim sentence embedding model. It is fast, runs on CPU, and is popular for local RAG applications."
61,nomic-embed-text,"nomic-embed-text is an open-source 768-dim text embedding model with a long 8K context window, competitive with OpenAI ada-002."
62,FastEmbed,"FastEmbed is a lightweight Python library for computing text embeddings using ONNX models. It avoids heavy PyTorch dependencies."
63,ONNX,"ONNX (Open Neural Network Exchange) is an open format for ML models. It allows models trained in PyTorch to run efficiently on CPU via ONNX Runtime."
64,CoreML,"CoreML is Apple's ML framework for on-device inference. It runs on Neural Engine, GPU, and CPU and supports image, text, and tabular models."
65,Metal (GPU API),"Metal is Apple's low-level GPU API for macOS and iOS. It provides compute shaders for ML inference and is used by MLX and CoreML."
66,MLX,"MLX is Apple's array framework for ML on Apple Silicon. It provides NumPy-like operations that run on the Neural Engine via Metal."
67,Apple Silicon,"Apple Silicon (M-series chips) combines CPU, GPU, and Neural Engine in a unified memory architecture. M4 Max has 128GB unified RAM."
68,Tokio (async),"The Tokio async runtime for Rust provides the foundation for high-performance network services, supporting millions of concurrent connections."
69,Axum,"Axum is a web framework for Rust built on Tokio and Tower. It provides type-safe routing, extractors, and middleware."
70,Hono,"Hono is a lightweight web framework for TypeScript/JavaScript. It runs on Bun, Deno, Cloudflare Workers, and Node.js with 200K+ req/s throughput."
71,Bun,"Bun is a fast all-in-one JavaScript runtime and toolkit. It is 5-10× faster than npm for installs and includes a bundler, test runner, and SQLite driver."
72,Drizzle ORM,"Drizzle is a TypeScript-first ORM with SQL-like syntax. It generates type-safe queries and runs on SQLite, PostgreSQL, and MySQL."
73,LibSQL,"LibSQL is a fork of SQLite with replication support. It powers Turso's serverless SQLite offering and supports HTTP, WebSocket, and embedded connections."
74,TanStack,"TanStack provides open-source tools for web apps: TanStack Query (async state), TanStack Router (type-safe routing), and TanStack Table."
75,Biome,"Biome is a fast formatter and linter for JavaScript/TypeScript written in Rust. It replaces ESLint + Prettier with a single tool."
76,Tauri,"Tauri is a framework for building desktop apps with web frontends. It uses OS webview instead of bundling Chromium, resulting in small binaries."
77,shadcn/ui,"shadcn/ui is a collection of accessible React components built on Radix UI and Tailwind CSS. Components are copied into the project, not imported."
78,Tailwind CSS,"Tailwind is a utility-first CSS framework. Tailwind v4 rewrites the engine in Rust/WASM for near-instant JIT compilation."
79,Auth.js,"Auth.js (formerly NextAuth) is an open-source authentication library for JavaScript. v5 supports any framework and provides adapters for Drizzle, Prisma, and more."
80,BetterAuth,"BetterAuth is a framework-agnostic TypeScript authentication library with built-in email/password, OAuth, and MFA support."
81,Stripe,"Stripe is the leading payment processing API. It supports one-time payments, subscriptions, invoicing, and connect marketplaces."
82,Resend,"Resend is a developer-first email API built on top of SMTP. It provides React email templates and reliable transactional delivery."
83,Railway,"Railway is a deployment platform for full-stack apps. It provides Postgres, Redis, and custom service deployments with zero configuration."
84,Fly.io,"Fly.io deploys Docker containers globally with low-latency routing. It supports persistent volumes, private networking, and Postgres Flex clusters."
85,Docker,"Docker packages applications and their dependencies into containers. It enables consistent deployments across development, staging, and production."
86,cargo-nextest,"cargo-nextest is a faster Rust test runner. It runs tests in parallel processes, provides better output formatting, and supports test partitioning."
87,Bacon,"Bacon is a background Rust compiler watcher. It runs cargo check/clippy/test on file save and displays errors with context."
88,mold linker,"mold is a high-performance linker for Linux. It links large Rust projects in 1-2 seconds vs ld's 30 seconds."
89,sccache,"sccache is a compiler cache for Rust, C, and C++. It caches compilation outputs and supports cloud storage backends for CI speed-up."
90,Valkey,"Valkey is the Linux Foundation fork of Redis after the 2024 BSL license change. It is fully compatible with the Redis protocol."
91,DragonflyDB,"Dragonfly is a high-performance Redis-compatible in-memory store. It uses a shared-nothing architecture and is 25× more memory efficient than Redis."
92,Meilisearch,"Meilisearch is an open-source search engine with a simple HTTP API. It provides instant search, typo tolerance, and faceting out of the box."
93,Typesense,"Typesense is an open-source typo-tolerant search engine written in C++. It is an alternative to Algolia and Elasticsearch for self-hosted deployments."
94,Plausible Analytics,"Plausible is a lightweight, open-source web analytics platform. It is privacy-friendly, cookie-free, and can be self-hosted on a single VPS."
95,GDPR,"The General Data Protection Regulation (GDPR) is EU law on data privacy. It requires consent, data minimization, right to erasure, and breach notification."
96,Raft (distributed),"Raft ensures distributed log consistency via leader election and log replication. It is simpler to understand than Paxos and widely used in etcd and TiKV."
97,uv (Python),"uv is an extremely fast Python package manager written in Rust by Astral. It replaces pip, virtualenv, and pyenv with a single 10-100× faster tool."
98,Ruff,"Ruff is an extremely fast Python linter and formatter written in Rust. It replaces flake8, isort, and black with one tool running in milliseconds."
99,CatBoost,"CatBoost is a gradient boosting library from Yandex. It handles categorical features natively, trains faster on CPU, and provides SHAP explanations."
100,LightGBM,"LightGBM is Microsoft's gradient boosting framework. It uses leaf-wise tree growth and is faster than XGBoost on large datasets."
